LON,LAT,PLOTID,point_id,esa_lc20,gfc_tc00,gfc_loss,gfc_year,gfc_gain,tmf_main_cl,tmf_subtypes,tmf_1990,tmf_1995,tmf_2000,tmf_2005,tmf_2010,tmf_2015,tmf_2020,tmf_def_yr,tmf_deg_yr,point_idx,dates,ts,images,geometry,bfast_change_date,bfast_magnitude,bfast_means,mon_images,cusum_change_date,cusum_confidence,cusum_magnitude,ts_mean,ts_sd,ts_min,ts_max,bs_slope_mean,bs_slope_sd,bs_slope_min,bs_slope_max,Kmeans
-79.70490631778479,0.6558178283344991,200619.0,200619.0,10,99,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,1,"DatetimeIndex(['2016-02-05', '2016-05-03', '2017-01-22', '2017-02-15',
               '2017-02-23', '2017-03-19', '2017-04-04', '2017-05-06',
               '2019-02-05', '2019-04-10', '2019-04-18', '2019-04-26',
               '2020-08-10', '2021-03-14'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8611, 8949, 8810, 8321, 8358, 8805, 7975, 8685, 8796, 8762, 8234, 8895, 8611, 8846]",17,POINT (-79.70490631778479 0.6558178283344991),-2.0,0.0,0.0,14,2017.06,-0.013596700504422188,1014.71484375,8618.42857142857,278.2374921552024,7975,8949,29.670903084854885,36.91650166422313,133.8396106359145,-170.46377113586402,4
-79.74982284269616,0.7010554085217074,200655.0,200655.0,10,97,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,1,"DatetimeIndex(['2016-04-01', '2016-04-25', '2016-05-03', '2017-01-22',
               '2017-02-23', '2017-03-19', '2017-04-28', '2017-05-06',
               '2017-06-23', '2019-04-10', '2020-03-03', '2020-04-04',
               '2020-04-20', '2020-08-10', '2021-01-17', '2021-03-06',
               '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7637, 7179, 8553, 8002, 8788, 8674, 8072, 8320, 8777, 8354, 2291, 8458, 8160, 8431, 6855, 8352, 8610]",24,POINT (-79.74982284269616 0.7010554085217074),-1.0,0.0,0.0,17,2019.274,-0.002276309998705983,5562.7060546875,8201.375,536.3531806328737,6855,8788,-156.7232447631979,145.63765999182525,147.06852166554535,-643.8869633185396,4
-79.52524021813936,0.5653248315558684,200569.0,200569.0,10,95,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,4,"DatetimeIndex(['2016-04-01', '2016-07-14', '2017-01-22', '2017-05-06',
               '2017-06-23', '2018-12-11', '2020-03-03', '2020-04-20',
               '2020-08-10', '2020-10-13', '2021-03-14', '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8570, 8654, 8724, 8741, 9042, 8226, 9105, 8839, 8797, 6372, 9020, 8790]",16,POINT (-79.52524021813936 0.5653248315558684),-2.0,0.0,0.0,12,2020.611,-0.0,2201.3330078125,8773.454545454546,234.87264000899168,8226,9105,-66.12284890600489,102.67804155712805,90.33948755526333,-354.5835922189461,4
-79.57017012035388,0.5201140059749807,200554.0,200554.0,30,63,0,,0,70,91,6,6,6,6,6,6,6,0.0,0.0,1,"DatetimeIndex(['2016-02-05', '2016-04-01', '2016-04-17', '2016-07-14',
               '2017-01-22', '2017-02-23', '2017-04-04', '2017-05-06',
               '2017-06-07', '2018-05-01', '2019-04-02', '2019-04-26',
               '2020-05-06', '2020-06-07', '2020-08-10', '2021-06-10'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8130, 8216, 8531, 7590, 6028, 8540, 8874, 7274, 8100, 7875, 7447, 8351, 6665, 7153, 5887, 8210]",24,POINT (-79.57017012035388 0.5201140059749807),-1.0,0.0,0.0,16,2019.318,-0.022304173558950424,3333.3125,7679.4375,858.9210505592176,5887,8874,-185.32899595220132,114.85831151848456,105.37301456424218,-488.2950403617417,4
-79.3456142504034,0.3391859807314142,200256.0,200256.0,30,0,0,,1,70,91,6,6,6,6,6,6,6,0.0,0.0,2,"DatetimeIndex(['2016-02-13', '2016-04-01', '2016-04-25', '2017-01-22',
               '2017-02-23', '2018-02-26', '2019-04-18', '2019-07-15',
               '2020-03-03', '2021-03-14'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[9017, 7882, 8428, 8588, 8596, 8633, 8869, 8600, 6532, 8204]",17,POINT (-79.3456142504034 0.3391859807314142),-1.0,0.0,0.0,10,2019.537,-0.016167927533388138,1933.80078125,8334.9,672.5523697081142,6532,9017,-145.32037912466745,149.80387987737595,224.52110773033058,-525.2578801758565,4
-79.3456142504034,0.3391859807314142,200256.0,200256.0,30,0,0,,1,70,91,6,6,6,6,6,6,6,0.0,0.0,2,"DatetimeIndex(['2016-02-13', '2016-04-01', '2016-04-25', '2017-01-22',
               '2017-02-23', '2018-02-26', '2019-04-18', '2019-07-15',
               '2020-03-03', '2021-03-14'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[9017, 7882, 8428, 8588, 8596, 8633, 8869, 8600, 6532, 8204]",17,POINT (-79.3456142504034 0.3391859807314142),-1.0,0.0,0.0,10,2019.537,-0.016167927533388138,1933.80078125,8334.9,672.5523697081142,6532,9017,-145.32037912466745,149.80387987737595,224.52110773033058,-525.2578801758565,4
-79.65998087467133,0.6558044510313388,200618.0,200618.0,10,98,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,3,"DatetimeIndex(['2016-01-04', '2016-02-05', '2016-04-25', '2016-05-03',
               '2016-11-27', '2017-01-22', '2017-02-15', '2017-04-28',
               '2017-05-06', '2018-04-07', '2019-04-26', '2020-08-10',
               '2021-01-09'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7948, 8690, 6792, 9030, 8217, 8574, 8453, 7543, 8644, 8841, 8864, 8477, 7176]",19,POINT (-79.65998087467133 0.6558044510313388),-1.0,0.0,0.0,13,2020.611,-0.0008518893155269325,2393.6943359375,8249.923076923076,665.2130325679321,6792,9030,-5.215868476528479,156.54131680149248,524.6790600681986,-302.4897309533168,4
-79.39046834790001,0.610504443429382,200595.0,200595.0,10,99,0,,0,20,22,1,1,1,1,1,1,2,0.0,2017.0,0,"DatetimeIndex(['2016-01-04', '2016-04-25', '2017-01-22', '2017-02-15',
               '2017-03-19', '2017-04-04', '2017-05-06', '2017-06-23',
               '2018-08-05', '2019-02-05', '2019-04-18', '2020-04-04',
               '2021-07-04'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[8223, 6986, 6976, 7801, 7626, 7035, 7525, 7584, 6283, 8043, 7768, 6792, 7303]",19,POINT (-79.39046834790001 0.610504443429382),-1.0,0.0,0.0,13,2016.011,-0.01840537041425705,1227.078125,7380.384615384615,525.7754037114412,6283,8223,-72.54125999011276,97.89585859569651,373.47204345704677,-707.9357197069968,4
-79.65998087467133,0.6558044510313388,200618.0,200618.0,10,98,0,,0,10,10,1,1,1,1,1,1,1,0.0,0.0,3,"DatetimeIndex(['2016-01-04', '2016-02-05', '2016-04-25', '2016-05-03',
               '2016-11-27', '2017-01-22', '2017-02-15', '2017-04-28',
               '2017-05-06', '2018-04-07', '2019-04-26', '2020-08-10',
               '2021-01-09'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7948, 8690, 6792, 9030, 8217, 8574, 8453, 7543, 8644, 8841, 8864, 8477, 7176]",19,POINT (-79.65998087467133 0.6558044510313388),-1.0,0.0,0.0,13,2020.611,-0.0008518893155269325,2393.6943359375,8249.923076923076,665.2130325679321,6792,9030,-5.215868476528479,156.54131680149248,524.6790600681986,-302.4897309533168,4
-79.48035044783431,0.42965222290372423,200294.0,200294.0,10,61,0,,0,70,91,6,6,6,6,6,6,6,0.0,0.0,5,"DatetimeIndex(['2016-04-01', '2016-04-17', '2016-05-03', '2017-01-22',
               '2017-02-23', '2017-05-06', '2018-05-01', '2019-04-26',
               '2020-03-03', '2021-03-30'],
              dtype='datetime64[ns]', name='imageID', freq=None)","[7363, 8686, 8599, 8486, 8496, 8396, 8332, 8376, 8020, 7546]",14,POINT (-79.48035044783431 0.4296522229037242),-2.0,0.0,0.0,10,2019.318,0.24620969593524933,1761.0,8230.0,424.65397678580615,7363,8686,-85.4434385318737,95.77696636737726,295.7336614915377,-224.48581771527503,4
